Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
M,298.0,307.6,1569.0,35.6,173.0,0,0,0,0,0,0
L,297.9,307.6,1687.0,29.1,176.0,0,0,0,0,0,0
L,297.9,307.6,1430.0,52.4,178.0,0,0,0,0,0,0
L,297.9,307.6,1504.0,42.4,180.0,0,0,0,0,0,0
L,297.9,307.6,1977.0,20.2,182.0,0,0,0,0,0,0
L,298.0,307.7,1435.0,45.6,184.0,0,0,0,0,0,0
H,298.0,307.7,1547.0,36.8,186.0,0,0,0,0,0,0
M,298.1,307.8,1316.0,57.2,191.0,0,0,0,0,0,0
M,298.0,307.7,1621.0,34.9,194.0,0,0,0,0,0,0
M,298.0,307.8,1492.0,40.2,197.0,0,0,0,0,0,0
L,298.0,307.7,1643.0,32.3,200.0,0,0,0,0,0,0
L,298.0,307.7,1492.0,38.7,202.0,0,0,0,0,0,0
L,298.0,307.7,1387.0,50.8,204.0,0,0,0,0,0,0
M,298.1,307.9,1463.0,47.3,206.0,0,0,0,0,0,0
M,298.1,307.9,1496.0,40.0,0.0,0,0,0,0,0,0
L,298.2,308.0,1658.0,30.0,3.0,0,0,0,0,0,0
L,298.1,307.9,2161.0,17.5,5.0,0,0,0,0,0,0
L,298.1,307.9,1665.0,32.0,7.0,0,0,0,0,0,0
L,298.0,307.8,1716.0,26.6,9.0,0,0,0,0,0,0
L,298.0,307.7,1529.0,34.1,11.0,0,0,0,0,0,0
L,297.9,307.7,1353.0,50.7,13.0,0,0,0,0,0,0
L,297.9,307.7,1537.0,37.7,15.0,0,0,0,0,0,0
L,298.0,307.7,1606.0,30.8,17.0,0,0,0,0,0,0
H,298.0,307.8,1314.0,47.8,19.0,0,0,0,0,0,0
L,298.0,307.8,1623.0,29.9,24.0,0,0,0,0,0,0
M,298.0,307.8,1483.0,50.9,26.0,0,0,0,0,0,0
M,298.1,307.9,1569.0,37.0,29.0,0,0,0,0,0,0
M,298.2,308.0,1969.0,21.7,32.0,0,0,0,0,0,0
M,298.1,308.0,1686.0,29.3,35.0,0,0,0,0,0,0
L,298.1,308.0,1638.0,35.1,38.0,0,0,0,0,0,0
L,298.1,307.9,1698.0,33.3,40.0,0,0,0,0,0,0
M,298.1,307.9,1377.0,55.1,42.0,0,0,0,0,0,0
M,298.1,308.0,2129.0,18.4,45.0,0,0,0,0,0,0
L,298.2,308.0,1411.0,42.4,48.0,0,0,0,0,0,0
L,298.1,307.9,1517.0,40.8,50.0,0,0,0,0,0,0
M,298.1,307.9,1303.0,53.9,52.0,0,0,0,0,0,0
L,298.1,307.9,1578.0,35.6,55.0,0,0,0,0,0,0
L,298.1,307.9,1425.0,58.2,57.0,0,0,0,0,0,0
L,298.1,308.0,1456.0,42.4,59.0,0,0,0,0,0,0
L,298.1,308.0,1704.0,30.9,61.0,0,0,0,0,0,0
L,298.1,308.1,1791.0,27.3,63.0,0,0,0,0,0,0
L,298.1,308.1,1616.0,32.8,65.0,0,0,0,0,0,0
L,298.2,308.1,1622.0,34.9,67.0,0,0,0,0,0,0
L,298.2,308.1,1462.0,49.9,69.0,0,0,0,0,0,0
L,298.1,308.1,1410.0,45.8,71.0,0,0,0,0,0,0
M,298.1,308.0,1543.0,41.9,73.0,0,0,0,0,0,0
M,298.0,307.9,1479.0,47.6,76.0,0,0,0,0,0,0
L,298.0,307.8,1839.0,22.7,79.0,0,0,0,0,0,0
L,298.0,307.8,1266.0,60.5,81.0,0,0,0,0,0,0
L,297.9,307.7,1593.0,34.9,83.0,0,0,0,0,0,0
L,297.9,307.8,1459.0,46.9,85.0,0,0,0,0,0,0
L,297.9,307.7,1308.0,55.2,87.0,0,0,0,0,0,0
M,297.9,307.7,1364.0,46.8,89.0,0,0,0,0,0,0
H,297.9,307.7,1618.0,35.9,92.0,0,0,0,0,0,0
H,297.9,307.7,1464.0,43.2,97.0,0,0,0,0,0,0
M,297.8,307.6,1352.0,49.4,102.0,0,0,0,0,0,0
L,297.8,307.6,1446.0,51.4,105.0,0,0,0,0,0,0
L,297.8,307.5,1448.0,51.2,107.0,0,0,0,0,0,0
L,297.8,307.5,1391.0,48.6,109.0,0,0,0,0,0,0
L,297.7,307.5,1379.0,43.3,111.0,0,0,0,0,0,0
M,297.8,307.5,1405.0,46.9,113.0,0,0,0,0,0,0
L,297.8,307.5,1581.0,33.1,116.0,0,0,0,0,0,0
L,297.9,307.6,1515.0,40.5,118.0,0,0,0,0,0,0
L,297.9,307.6,1589.0,37.8,120.0,0,0,0,0,0,0
L,298.0,307.6,1281.0,50.8,122.0,0,0,0,0,0,0
H,297.8,307.5,1631.0,31.3,124.0,0,0,0,0,0,0
M,297.9,307.6,1202.0,67.0,129.0,0,0,0,0,0,0
L,297.9,307.6,1298.0,52.7,132.0,0,0,0,0,0,0
L,297.9,307.6,1612.0,30.7,134.0,0,0,0,0,0,0
L,297.9,307.6,1747.0,25.3,136.0,0,0,0,0,0,0
L,298.0,307.6,1450.0,48.7,138.0,0,0,0,0,0,0
L,298.0,307.7,1422.0,45.6,140.0,0,0,0,0,0,0
M,298.1,307.7,1419.0,47.4,142.0,0,0,0,0,0,0
M,298.1,307.7,1633.0,30.7,145.0,0,0,0,0,0,0
L,298.0,307.7,1442.0,43.6,148.0,0,0,0,0,0,0
H,298.0,307.6,1420.0,45.8,150.0,0,0,0,0,0,0
M,298.0,307.6,1301.0,58.5,155.0,0,0,0,0,0,0
L,298.0,307.6,1385.0,45.0,158.0,0,0,0,0,0,0
M,298.0,307.7,1487.0,41.3,160.0,0,0,0,0,0,0
M,298.0,307.6,1459.0,44.4,163.0,0,0,0,0,0,0
M,298.0,307.5,1387.0,45.5,166.0,0,0,0,0,0,0
L,298.1,307.7,1537.0,40.8,169.0,0,0,0,0,0,0
L,298.1,307.6,1498.0,42.9,171.0,0,0,0,0,0,0
M,298.2,307.8,1599.0,31.2,173.0,0,0,0,0,0,0
H,298.3,307.9,1420.0,39.2,176.0,0,0,0,0,0,0
L,298.2,307.9,1785.0,23.4,181.0,0,0,0,0,0,0
L,298.2,307.8,1423.0,48.1,183.0,0,0,0,0,0,0
M,298.2,307.8,1583.0,36.6,185.0,0,0,0,0,0,0
L,298.2,307.8,1375.0,46.6,188.0,0,0,0,0,0,0
M,298.3,308.0,1463.0,42.5,190.0,0,0,0,0,0,0
M,298.2,307.9,1403.0,45.1,193.0,0,0,0,0,0,0
L,298.3,308.0,1451.0,47.1,196.0,0,0,0,0,0,0
M,298.4,308.0,1416.0,38.2,198.0,1,1,0,0,0,0
L,298.3,308.1,1672.0,41.3,0.0,0,0,0,0,0,0
H,298.3,308.0,1637.0,30.8,2.0,0,0,0,0,0,0
L,298.4,308.0,1540.0,37.8,7.0,0,0,0,0,0,0
L,298.4,308.1,1279.0,53.1,9.0,0,0,0,0,0,0
L,298.4,308.2,1604.0,34.9,11.0,0,0,0,0,0,0
L,298.5,308.2,1654.0,27.1,13.0,0,0,0,0,0,0
M,298.5,308.2,1564.0,37.5,15.0,0,0,0,0,0,0
L,298.5,308.2,1451.0,47.5,18.0,0,0,0,0,0,0
L,298.5,308.3,1504.0,38.0,20.0,0,0,0,0,0,0
M,298.5,308.3,1381.0,50.5,22.0,0,0,0,0,0,0
L,298.6,308.4,1562.0,34.4,25.0,0,0,0,0,0,0
L,298.5,308.3,1811.0,24.7,27.0,0,0,0,0,0,0
M,298.6,308.3,1717.0,28.7,29.0,0,0,0,0,0,0
L,298.6,308.3,1278.0,60.5,32.0,0,0,0,0,0,0
L,298.7,308.5,1616.0,30.2,34.0,0,0,0,0,0,0
L,298.6,308.4,1397.0,46.4,36.0,0,0,0,0,0,0
L,298.6,308.4,1485.0,42.9,38.0,0,0,0,0,0,0
L,298.6,308.4,1310.0,59.7,40.0,0,0,0,0,0,0
L,298.5,308.2,1301.0,66.3,42.0,1,0,0,1,0,0
L,298.5,308.3,1458.0,44.0,44.0,0,0,0,0,0,0
L,298.7,308.5,1483.0,42.5,46.0,0,0,0,0,0,0
L,298.7,308.5,1375.0,46.4,48.0,0,0,0,0,0,0
M,298.7,308.5,1660.0,27.0,50.0,0,0,0,0,0,0
H,298.7,308.4,1560.0,33.3,53.0,0,0,0,0,0,0
L,298.7,308.5,1480.0,42.2,58.0,0,0,0,0,0,0
L,298.7,308.4,1373.0,46.9,60.0,0,0,0,0,0,0
L,298.7,308.5,1444.0,54.2,62.0,0,0,0,0,0,0
M,298.7,308.6,1722.0,24.7,64.0,0,0,0,0,0,0
L,298.7,308.5,1469.0,39.9,67.0,0,0,0,0,0,0
M,298.7,308.5,1360.0,52.9,69.0,0,0,0,0,0,0
L,298.7,308.4,1750.0,25.8,72.0,0,0,0,0,0,0
M,298.7,308.3,1349.0,46.6,74.0,0,0,0,0,0,0
L,298.7,308.5,1668.0,35.2,77.0,0,0,0,0,0,0
L,298.9,308.6,1400.0,49.5,79.0,0,0,0,0,0,0
L,298.8,308.6,1331.0,62.8,81.0,0,0,0,0,0,0
L,298.8,308.5,1444.0,42.2,83.0,0,0,0,0,0,0
H,298.8,308.5,1359.0,47.6,85.0,0,0,0,0,0,0
M,298.8,308.5,1425.0,47.4,90.0,0,0,0,0,0,0
M,298.9,308.6,1469.0,34.2,93.0,0,0,0,0,0,0
L,299.0,308.7,1892.0,22.8,96.0,0,0,0,0,0,0
H,299.0,308.7,1940.0,19.9,98.0,0,0,0,0,0,0
L,299.0,308.8,1405.0,55.2,103.0,0,0,0,0,0,0
M,299.0,308.9,1449.0,39.6,105.0,0,0,0,0,0,0
L,299.1,308.9,1686.0,29.6,108.0,0,0,0,0,0,0
L,299.1,308.9,1680.0,27.2,110.0,0,0,0,0,0,0
M,299.1,308.9,1397.0,52.4,112.0,0,0,0,0,0,0
M,299.2,309.0,1597.0,30.3,115.0,0,0,0,0,0,0
L,299.3,309.1,1470.0,41.1,118.0,0,0,0,0,0,0
M,299.3,309.1,1703.0,31.3,120.0,0,0,0,0,0,0
L,299.3,309.1,1388.0,45.5,123.0,0,0,0,0,0,0
L,299.3,309.2,1775.0,24.2,125.0,0,0,0,0,0,0
L,299.3,309.2,1465.0,41.5,127.0,0,0,0,0,0,0
M,299.3,309.2,1586.0,37.9,129.0,0,0,0,0,0,0
M,299.5,309.3,1675.0,29.2,132.0,0,0,0,0,0,0
M,299.4,309.2,1470.0,44.4,135.0,0,0,0,0,0,0
L,299.5,309.3,1477.0,40.4,138.0,0,0,0,0,0,0
L,299.5,309.3,1382.0,61.0,140.0,0,0,0,0,0,0
M,299.6,309.4,1605.0,29.8,142.0,0,0,0,0,0,0
L,299.6,309.4,1643.0,32.9,145.0,0,0,0,0,0,0
L,299.5,309.3,1333.0,54.1,147.0,0,0,0,0,0,0
L,299.5,309.3,1520.0,42.3,149.0,0,0,0,0,0,0
M,299.5,309.3,1902.0,24.0,151.0,0,0,0,0,0,0
H,299.5,309.4,1386.0,44.4,154.0,0,0,0,0,0,0
L,299.6,309.5,1803.0,27.7,159.0,0,0,0,0,0,0
L,299.7,309.6,1359.0,50.7,161.0,0,0,0,0,0,0
M,299.7,309.6,1477.0,42.7,163.0,0,0,0,0,0,0
L,299.7,309.6,1321.0,53.4,166.0,0,0,0,0,0,0
L,299.6,309.5,1453.0,41.4,168.0,0,0,0,0,0,0
L,299.7,309.6,1419.0,45.1,170.0,0,0,0,0,0,0
L,299.7,309.6,1512.0,36.2,172.0,0,0,0,0,0,0
L,299.7,309.6,1553.0,36.8,174.0,0,0,0,0,0,0
M,299.7,309.6,1534.0,39.1,176.0,0,0,0,0,0,0
H,299.7,309.6,1553.0,41.0,179.0,0,0,0,0,0,0
L,299.7,309.5,1352.0,49.7,184.0,0,0,0,0,0,0
M,299.7,309.6,1313.0,60.0,186.0,0,0,0,0,0,0
L,299.6,309.5,1570.0,35.5,189.0,0,0,0,0,0,1
L,299.6,309.4,1677.0,31.1,191.0,0,0,0,0,0,0
L,299.5,309.4,1602.0,31.5,193.0,0,0,0,0,0,0
L,299.5,309.4,1390.0,58.8,195.0,1,0,0,0,1,0
L,299.4,309.3,1544.0,36.0,197.0,0,0,0,0,0,0
L,299.4,309.4,1701.0,31.2,199.0,0,0,0,0,0,0
M,299.4,309.3,1692.0,28.4,201.0,0,0,0,0,0,0
M,299.3,309.3,1523.0,37.9,204.0,0,0,0,0,0,0
L,299.3,309.2,2280.0,15.4,207.0,0,0,0,0,0,0
M,299.4,309.3,1485.0,47.1,209.0,0,0,0,0,0,0
H,299.4,309.2,1513.0,36.1,212.0,0,0,0,0,0,0
H,299.4,309.3,1743.0,28.2,0.0,0,0,0,0,0,0
L,299.5,309.3,1442.0,46.2,5.0,0,0,0,0,0,0
L,299.5,309.3,1462.0,46.7,7.0,0,0,0,0,0,0
H,299.4,309.3,1439.0,49.7,9.0,0,0,0,0,0,0
L,299.5,309.3,1577.0,36.6,14.0,0,0,0,0,0,0
L,299.6,309.4,1331.0,46.4,16.0,0,0,0,0,0,0
L,299.5,309.3,1941.0,22.5,18.0,0,0,0,0,0,0
L,299.5,309.2,1393.0,47.3,20.0,0,0,0,0,0,0
L,299.4,309.2,1433.0,42.1,22.0,0,0,0,0,0,0
L,299.4,309.2,1444.0,48.2,24.0,0,0,0,0,0,0
L,299.4,309.2,1564.0,39.0,26.0,0,0,0,0,0,0
L,299.4,309.3,1377.0,43.6,28.0,0,0,0,0,0,0
L,299.4,309.3,1525.0,41.5,30.0,0,0,0,0,0,0
M,299.5,309.4,1387.0,56.2,32.0,0,0,0,0,0,0
M,299.4,309.4,1326.0,47.5,35.0,0,0,0,0,0,0
L,299.4,309.3,1401.0,59.0,38.0,0,0,0,0,0,0
L,299.4,309.3,1596.0,31.8,40.0,0,0,0,0,0,0
M,299.3,309.3,1471.0,46.0,42.0,0,0,0,0,0,0
L,299.3,309.3,1528.0,37.8,45.0,0,0,0,0,0,0
L,299.3,309.3,1325.0,62.0,47.0,0,0,0,0,0,0
M,299.3,309.1,1376.0,46.7,49.0,0,0,0,0,0,0
M,299.3,309.1,1600.0,35.3,52.0,0,0,0,0,0,0
L,299.3,309.1,1495.0,44.0,55.0,0,0,0,0,0,0
L,299.4,309.1,1645.0,28.6,57.0,0,0,0,0,0,0
M,299.4,309.1,1417.0,47.3,59.0,0,0,0,0,0,0
H,299.4,309.0,1415.0,51.7,62.0,0,0,0,0,0,0
M,299.3,309.0,1496.0,43.4,67.0,0,0,0,0,0,0
H,299.3,309.0,1508.0,35.0,70.0,0,0,0,0,0,0
L,299.4,309.0,1436.0,47.9,75.0,0,0,0,0,0,0
L,299.5,309.1,1852.0,22.6,77.0,0,0,0,0,0,0
L,299.5,309.1,1863.0,22.5,79.0,0,0,0,0,0,0
H,299.4,309.1,1373.0,44.1,81.0,0,0,0,0,0,0
L,299.4,309.0,1404.0,47.3,86.0,0,0,0,0,0,0
M,299.4,309.0,1381.0,44.9,88.0,0,0,0,0,0,0
H,299.4,308.9,1762.0,29.3,91.0,0,0,0,0,0,0
H,299.3,308.9,1429.0,43.0,96.0,0,0,0,0,0,0
M,299.3,308.9,1858.0,24.7,101.0,0,0,0,0,0,0
H,299.2,308.8,1908.0,21.3,104.0,0,0,0,0,0,0
M,299.2,308.8,1503.0,37.4,109.0,0,0,0,0,0,0
M,299.2,308.8,1523.0,38.9,112.0,0,0,0,0,0,0
L,299.3,309.0,1491.0,38.4,115.0,0,0,0,0,0,0
L,299.2,308.9,1430.0,39.1,117.0,0,0,0,0,0,0
L,299.3,308.9,1258.0,69.4,119.0,1,0,0,1,0,0
L,299.3,309.0,1449.0,46.5,121.0,0,0,0,0,0,0
H,299.3,309.0,1425.0,40.6,123.0,0,0,0,0,0,0
L,299.4,309.0,1800.0,24.3,128.0,0,0,0,0,0,0
H,299.4,309.0,1607.0,33.7,130.0,0,0,0,0,0,0
L,299.4,309.0,1391.0,58.2,135.0,0,0,0,0,0,0
L,299.4,309.1,1432.0,45.4,137.0,0,0,0,0,0,0
L,299.4,309.0,1660.0,28.4,139.0,0,0,0,0,0,0
H,299.3,309.0,1732.0,29.7,141.0,0,0,0,0,0,0
L,299.3,309.0,1473.0,46.3,146.0,0,0,0,0,0,0
L,299.3,309.0,1511.0,47.8,148.0,0,0,0,0,0,0
L,299.2,308.9,1588.0,41.5,150.0,0,0,0,0,0,0
L,299.3,308.9,1623.0,31.1,152.0,0,0,0,0,0,0
L,299.3,309.0,1734.0,30.6,154.0,0,0,0,0,0,0
L,299.3,309.0,1415.0,47.6,156.0,0,0,0,0,0,0
L,299.3,309.0,1419.0,46.6,158.0,0,0,0,0,0,0
M,299.3,308.9,1577.0,34.9,160.0,0,0,0,0,0,0
L,299.3,308.9,1376.0,60.3,163.0,0,0,0,0,0,0
M,299.3,308.8,1442.0,49.0,165.0,0,0,0,0,0,0
L,299.4,308.9,1451.0,40.5,168.0,0,0,0,0,0,0
L,299.3,308.8,1550.0,45.8,170.0,0,0,0,0,0,0
L,299.3,308.8,1647.0,32.9,172.0,0,0,0,0,0,0
L,299.4,308.9,1550.0,33.7,174.0,0,0,0,0,0,0
L,299.4,308.9,1583.0,34.1,176.0,0,0,0,0,0,0
L,299.4,309.0,1613.0,32.2,178.0,0,0,0,0,0,0
H,299.3,308.8,1636.0,35.5,180.0,0,0,0,0,0,0
M,299.3,308.7,1289.0,51.5,185.0,0,0,0,0,0,0
M,299.3,308.8,1648.0,28.4,188.0,0,0,0,0,0,0
H,299.3,308.8,1397.0,45.4,191.0,0,0,0,0,0,0
M,299.3,308.9,1767.0,24.8,196.0,0,0,0,0,0,0
L,299.3,308.8,1341.0,47.7,199.0,0,0,0,0,0,0
M,299.4,308.9,1457.0,41.5,201.0,0,0,0,0,0,0
M,299.4,309.0,1939.0,19.8,204.0,0,0,0,0,0,0
M,299.5,309.0,1399.0,49.7,207.0,0,0,0,0,0,0
M,299.5,309.0,1602.0,31.3,210.0,0,0,0,0,0,0
L,299.4,309.0,1507.0,41.0,213.0,0,0,0,0,0,0
L,299.4,309.1,1464.0,40.5,215.0,0,0,0,0,0,0
L,299.5,309.1,1336.0,42.1,217.0,0,0,0,0,0,0
L,299.6,309.2,1422.0,39.8,219.0,0,0,0,0,0,0
L,299.6,309.2,1540.0,36.7,221.0,0,0,0,0,0,0
L,299.5,309.1,1476.0,47.8,223.0,0,0,0,0,0,0
M,299.6,309.2,1867.0,23.4,225.0,1,1,0,0,0,0
H,299.6,309.1,1588.0,41.3,0.0,0,0,0,0,0,0
M,299.5,309.1,1420.0,49.5,5.0,0,0,0,0,0,0
L,299.5,309.1,1415.0,49.2,8.0,0,0,0,0,0,0
M,299.4,309.1,1500.0,43.3,10.0,0,0,0,0,0,0
L,299.5,309.1,1502.0,44.6,13.0,0,0,0,0,0,0
L,299.5,309.2,1816.0,23.0,15.0,0,0,0,0,0,0
M,299.5,309.2,1495.0,41.6,17.0,0,0,0,0,0,0
L,299.6,309.2,1572.0,33.4,20.0,0,0,0,0,0,0
M,299.5,309.2,1590.0,35.9,22.0,0,0,0,0,0,0
M,299.6,309.3,1387.0,48.3,25.0,0,0,0,0,0,0
M,299.6,309.2,1393.0,47.7,28.0,0,0,0,0,0,0
L,299.6,309.2,1602.0,37.3,31.0,0,0,0,0,0,0
L,299.6,309.2,1601.0,33.3,33.0,0,0,0,0,0,0
H,299.6,309.2,1597.0,36.3,35.0,0,0,0,0,0,0
H,299.5,309.1,1548.0,44.3,40.0,0,0,0,0,0,0
M,299.5,309.2,1314.0,61.8,45.0,0,0,0,0,0,0
M,299.6,309.3,1577.0,39.8,48.0,0,0,0,0,0,0
L,299.8,309.4,1475.0,43.4,51.0,0,0,0,0,0,0
L,299.8,309.4,1630.0,32.4,53.0,0,0,0,0,0,0
L,299.7,309.4,1445.0,42.9,55.0,0,0,0,0,0,0
M,299.8,309.4,1439.0,47.4,57.0,0,0,0,0,0,0
L,299.7,309.3,1420.0,44.1,60.0,0,0,0,0,0,0
H,299.7,309.2,1554.0,41.6,62.0,0,0,0,0,0,0
M,299.6,309.1,1471.0,44.3,67.0,0,0,0,0,0,0
L,299.6,309.0,1648.0,33.6,70.0,0,0,0,0,0,0
L,299.6,309.0,1472.0,48.8,72.0,0,0,0,0,0,0
M,299.5,308.9,1448.0,42.9,74.0,0,0,0,0,0,0
M,299.6,308.9,1568.0,35.3,77.0,0,0,0,0,0,0
L,299.6,308.9,1613.0,30.8,80.0,0,0,0,0,0,0
M,299.7,308.9,1551.0,35.4,82.0,0,0,0,0,0,0
L,299.7,309.0,1412.0,49.2,85.0,0,0,0,0,0,0
M,299.7,308.9,1478.0,41.0,87.0,0,0,0,0,0,0
M,299.8,309.1,1268.0,58.0,90.0,0,0,0,0,0,0
L,299.8,309.1,1546.0,35.6,93.0,0,0,0,0,0,0
L,299.8,309.0,1567.0,36.1,95.0,0,0,0,0,0,0
M,299.9,309.2,1548.0,35.7,97.0,0,0,0,0,0,0
L,299.8,309.0,1614.0,30.8,100.0,0,0,0,0,0,0
M,299.7,309.1,1352.0,46.1,102.0,0,0,0,0,0,0
L,299.9,309.2,1624.0,34.6,105.0,0,0,0,0,0,0
L,299.9,309.2,1436.0,52.0,107.0,0,0,0,0,0,0
L,299.8,309.2,1591.0,37.5,109.0,0,0,0,0,0,0
H,299.8,309.2,1435.0,42.6,111.0,0,0,0,0,0,0
L,299.8,309.3,1386.0,49.4,116.0,0,0,0,0,0,0
L,299.7,309.2,1401.0,54.1,118.0,0,0,0,0,0,0
M,299.6,309.0,1245.0,64.0,120.0,0,0,0,0,0,0
L,299.7,309.1,1475.0,40.0,123.0,0,0,0,0,0,0
L,299.7,309.1,1473.0,39.4,125.0,0,0,0,0,0,0
H,299.7,309.2,1355.0,44.8,127.0,0,0,0,0,0,0
H,299.7,309.2,1468.0,49.6,132.0,0,0,0,0,0,0
L,299.7,309.2,1645.0,30.8,137.0,0,0,0,0,0,0
L,299.7,309.1,1347.0,55.3,139.0,0,0,0,0,0,0
L,299.7,309.1,1713.0,33.5,141.0,0,0,0,0,0,0
M,299.6,309.1,1435.0,48.4,143.0,0,0,0,0,0,0
M,299.6,309.0,1736.0,26.1,146.0,0,0,0,0,0,0
L,299.6,309.0,1372.0,60.4,149.0,0,0,0,0,0,0
L,299.7,309.0,1605.0,33.0,151.0,0,0,0,0,0,0
L,299.6,309.0,1413.0,48.5,153.0,0,0,0,0,0,0
M,299.7,309.0,1645.0,31.9,155.0,0,0,0,0,0,0
M,299.7,309.0,1465.0,49.0,158.0,0,0,0,0,0,0
M,299.6,308.9,1685.0,27.8,161.0,0,0,0,0,0,0
L,299.5,308.8,1965.0,20.4,164.0,0,0,0,0,0,0
H,299.4,308.6,1542.0,41.8,166.0,0,0,0,0,0,0
L,299.4,308.7,1681.0,30.8,171.0,0,0,0,0,0,0
L,299.5,308.7,1446.0,45.7,173.0,0,0,0,0,0,0
L,299.4,308.6,1415.0,56.4,175.0,0,0,0,0,0,0
L,299.5,308.6,1672.0,30.5,177.0,0,0,0,0,0,0
L,299.5,308.7,2549.0,13.0,179.0,1,0,0,1,0,0
L,299.4,308.6,1492.0,40.5,181.0,0,0,0,0,0,0
M,299.4,308.6,1455.0,42.7,183.0,0,0,0,0,0,0
M,299.3,308.5,1422.0,43.1,186.0,0,0,0,0,0,0
L,299.3,308.6,1403.0,50.6,189.0,0,0,0,0,0,0
L,299.3,308.6,1474.0,49.6,191.0,0,0,0,0,0,0
L,299.2,308.6,1381.0,50.0,193.0,0,0,0,0,0,0
L,299.2,308.5,1457.0,44.7,195.0,0,0,0,0,0,0
L,299.2,308.4,1711.0,28.9,197.0,0,0,0,0,0,0
L,299.2,308.4,1667.0,29.0,199.0,0,0,0,0,0,0
L,299.2,308.4,1465.0,35.0,201.0,0,0,0,0,0,0
M,299.3,308.4,1542.0,37.5,203.0,1,1,0,0,0,0
M,299.3,308.4,1438.0,42.3,0.0,0,0,0,0,0,0
L,299.3,308.4,1406.0,47.4,3.0,0,0,0,0,0,0
M,299.2,308.4,1396.0,48.5,5.0,0,0,0,0,0,0
M,299.3,308.5,1304.0,60.6,8.0,0,0,0,0,0,0
L,299.2,308.5,1442.0,46.5,11.0,0,0,0,0,0,0
M,299.2,308.4,1396.0,48.7,13.0,0,0,0,0,0,0
H,299.1,308.3,1424.0,43.4,16.0,0,0,0,0,0,0
H,299.1,308.3,1451.0,42.8,21.0,0,0,0,0,0,0
L,299.2,308.4,1386.0,54.1,26.0,0,0,0,0,0,0
L,299.1,308.3,1325.0,46.9,28.0,0,0,0,0,0,0
L,299.1,308.3,1559.0,33.7,30.0,0,0,0,0,0,0
L,299.1,308.3,1489.0,38.1,32.0,0,0,0,0,0,0
L,299.1,308.3,1892.0,25.2,34.0,0,0,0,0,0,0
L,299.1,308.2,1319.0,60.3,36.0,0,0,0,0,0,0
L,299.1,308.3,1431.0,52.3,38.0,0,0,0,0,0,0
H,299.1,308.3,1521.0,36.5,40.0,0,0,0,0,0,0
M,299.1,308.2,1435.0,45.2,45.0,0,0,0,0,0,0
L,299.1,308.3,1533.0,42.4,48.0,0,0,0,0,0,0
M,299.2,308.4,1529.0,43.0,50.0,0,0,0,0,0,0
M,299.2,308.4,1415.0,43.5,53.0,0,0,0,0,0,0
M,299.2,308.4,1330.0,51.2,56.0,0,0,0,0,0,0
L,299.2,308.5,1381.0,60.6,59.0,0,0,0,0,0,0
L,299.2,308.5,1370.0,52.4,61.0,0,0,0,0,0,0
L,299.2,308.5,1438.0,46.6,63.0,0,0,0,0,0,0
L,299.3,308.6,1314.0,48.2,65.0,0,0,0,0,0,0
L,299.3,308.6,1437.0,48.1,67.0,0,0,0,0,0,0
L,299.2,308.5,1821.0,26.1,69.0,0,0,0,0,0,0
M,299.3,308.6,1448.0,52.1,71.0,0,0,0,0,0,0
L,299.3,308.5,1589.0,32.7,74.0,0,0,0,0,0,0
L,299.3,308.6,1520.0,33.7,76.0,0,0,0,0,0,0
L,299.3,308.6,1605.0,37.0,78.0,0,0,0,0,0,0
L,299.3,308.7,1393.0,54.2,80.0,0,0,0,0,0,0
H,299.3,308.7,1408.0,44.4,82.0,0,0,0,0,0,0
M,299.3,308.7,1459.0,35.6,87.0,0,0,0,0,0,0
L,299.4,308.7,1525.0,39.0,90.0,0,0,0,0,0,0
L,299.4,308.8,1390.0,57.0,92.0,0,0,0,0,0,0
L,299.3,308.7,1536.0,38.9,94.0,0,0,0,0,0,0
L,299.4,308.7,1459.0,47.6,96.0,0,0,0,0,0,0
L,299.2,308.5,1387.0,51.1,98.0,0,0,0,0,0,0
L,299.2,308.5,1378.0,53.4,100.0,0,0,0,0,0,0
L,299.4,308.7,1381.0,56.7,102.0,0,0,0,0,0,0
M,299.4,308.7,1289.0,60.5,104.0,0,0,0,0,0,0
L,299.4,308.6,1746.0,26.8,107.0,0,0,0,0,0,0
M,299.4,308.6,1541.0,39.1,109.0,0,0,0,0,0,0
L,299.4,308.7,1504.0,37.8,112.0,0,0,0,0,0,0
M,299.5,308.7,1321.0,51.9,114.0,0,0,0,0,0,0
M,299.5,308.8,1886.0,20.9,117.0,0,0,0,0,0,0
L,299.6,308.9,1422.0,53.2,120.0,0,0,0,0,0,0
L,299.5,308.9,1520.0,38.3,122.0,0,0,0,0,0,0
L,299.4,308.8,1627.0,32.6,124.0,0,0,0,0,0,0
L,299.4,308.7,1512.0,37.2,126.0,0,0,0,0,0,0
L,299.4,308.7,1553.0,42.7,128.0,0,0,0,0,0,0
L,299.3,308.7,1802.0,26.0,130.0,0,0,0,0,0,0
L,299.3,308.6,1482.0,37.6,132.0,0,0,0,0,0,0
L,299.4,308.7,1446.0,62.9,134.0,1,0,0,1,0,0
L,299.3,308.6,1371.0,50.5,136.0,0,0,0,0,0,0
